file,chunk,top_label,top_score,negative,neutral,positive
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,1,negative,0.6947143077850342,0.6947143077850342,0.29491695761680603,0.010368664748966694
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,2,negative,0.5682224035263062,0.5682224035263062,0.412330687046051,0.019446905702352524
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,3,negative,0.6676391959190369,0.6676391959190369,0.32223743200302124,0.010123373940587044
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,4,negative,0.605810821056366,0.605810821056366,0.3824751377105713,0.01171403843909502
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,5,neutral,0.7970149517059326,0.1365436613559723,0.7970149517059326,0.0664413794875145
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c05vg8ye4r3o()at_medium=RSS(())at_campaign=rss.txt,avg,negative,0.5345860719680786,0.5345860719680786,0.4417950212955475,0.023618871346116066
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c07x7nvk0gro()at_medium=RSS(())at_campaign=rss.txt,1,negative,0.7350695133209229,0.7350695133209229,0.2557842433452606,0.00914626382291317
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c07x7nvk0gro()at_medium=RSS(())at_campaign=rss.txt,2,negative,0.6739811301231384,0.6739811301231384,0.31189456582069397,0.014124327339231968
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c07x7nvk0gro()at_medium=RSS(())at_campaign=rss.txt,3,negative,0.6289575695991516,0.6289575695991516,0.3553508222103119,0.015691634267568588
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c07x7nvk0gro()at_medium=RSS(())at_campaign=rss.txt,4,neutral,0.8577601909637451,0.05387285351753235,0.8577601909637451,0.0883670374751091
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c07x7nvk0gro()at_medium=RSS(())at_campaign=rss.txt,avg,negative,0.5229702591896057,0.5229702591896057,0.4451974630355835,0.031832315027713776
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,1,neutral,0.8384777903556824,0.018312981352210045,0.8384777903556824,0.14320926368236542
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,2,neutral,0.8162201642990112,0.12578248977661133,0.8162201642990112,0.05799730494618416
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,3,neutral,0.8189413547515869,0.14045557379722595,0.8189413547515869,0.04060309752821922
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,4,neutral,0.8604788780212402,0.01883186399936676,0.8604788780212402,0.12068931013345718
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,5,neutral,0.7125972509384155,0.2519018054008484,0.7125972509384155,0.03550092130899429
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c0j58w0yg68o()at_medium=RSS(())at_campaign=rss.txt,avg,neutral,0.8093430399894714,0.11105693876743317,0.8093430399894714,0.07959997653961182
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c15xwvn707xo()at_medium=RSS(())at_campaign=rss.txt,1,neutral,0.7045808434486389,0.27079522609710693,0.7045808434486389,0.024623854085803032
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c15xwvn707xo()at_medium=RSS(())at_campaign=rss.txt,2,negative,0.5636796951293945,0.5636796951293945,0.4228054881095886,0.013514824211597443
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c15xwvn707xo()at_medium=RSS(())at_campaign=rss.txt,3,negative,0.626052737236023,0.626052737236023,0.36316898465156555,0.010778270661830902
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c15xwvn707xo()at_medium=RSS(())at_campaign=rss.txt,avg,neutral,0.49685177206993103,0.486842542886734,0.49685177206993103,0.016305649653077126
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,1,neutral,0.655848503112793,0.30945128202438354,0.655848503112793,0.03470022976398468
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,2,negative,0.5945636034011841,0.5945636034011841,0.38729625940322876,0.01814018189907074
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,3,neutral,0.5657073259353638,0.06887315213680267,0.5657073259353638,0.36541950702667236
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,4,neutral,0.826582670211792,0.04159921407699585,0.826582670211792,0.13181813061237335
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,5,neutral,0.5667700171470642,0.40199241042137146,0.5667700171470642,0.031237589195370674
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c2e4rvzw7nlo()at_medium=RSS(())at_campaign=rss.txt,avg,neutral,0.6004409790039062,0.2832959294319153,0.6004409790039062,0.11626312881708145
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c30968817q3o()at_medium=RSS(())at_campaign=rss.txt,1,negative,0.6651248931884766,0.6651248931884766,0.32014700770378113,0.014728138223290443
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c30968817q3o()at_medium=RSS(())at_campaign=rss.txt,2,negative,0.7167680859565735,0.7167680859565735,0.2728646695613861,0.010367298498749733
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c30968817q3o()at_medium=RSS(())at_campaign=rss.txt,3,neutral,0.5972646474838257,0.34146472811698914,0.5972646474838257,0.06127062067389488
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c30968817q3o()at_medium=RSS(())at_campaign=rss.txt,avg,negative,0.5744525790214539,0.5744525790214539,0.3967587947845459,0.02878868579864502
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c309zp49zdno()at_medium=RSS(())at_campaign=rss.txt,1,neutral,0.8750677108764648,0.04806283488869667,0.8750677108764648,0.07686948776245117
2026-02-https(__)(_)(_)www.bbc.com(_)news(_)articles(_)c309zp49zdno()at_medium=RSS(())at_campaign=rss.txt,2,neutral,0.8648821711540222,0.07481951266527176,0.8648821711540222,0.060298386961221695
